# Ag,Au,Cu,Ir,Pd,Pt,Rh,Ru,n_Ag,n_Au,n_Cu,n_Ir,n_Pd,n_Pt,n_Rh,n_Ru,dE,CN,db_rowidx
0,0,0,0,0,0,0,1,2,0,0,2,1,0,0,0,-1.523499,5,9
0,0,0,0,0,0,1,0,2,4,0,1,0,0,0,0,-0.807611,7,27
0,0,1,0,0,0,0,0,2,4,0,1,0,0,0,0,0.058597,7,31
0,0,0,1,0,0,0,0,2,4,0,1,0,0,0,0,-1.526681,7,32
0,0,0,0,0,1,0,0,2,4,0,1,0,0,0,0,-0.336375,7,34
0,0,0,0,0,0,0,1,2,4,0,1,0,0,0,0,-1.547076,7,35
0,0,0,1,0,0,0,0,0,1,2,3,1,0,0,0,-0.891542,7,40
0,0,0,0,0,1,0,0,0,1,2,3,1,0,0,0,0.027777,7,42
0,0,0,0,0,0,1,0,0,1,2,3,1,0,0,0,-0.332192,7,43
0,0,0,0,0,0,0,1,0,1,2,3,1,0,0,0,-0.956585,7,44
0,0,0,0,0,0,0,1,3,0,0,0,1,2,0,1,-1.486807,7,107
0,0,1,0,0,0,0,0,4,0,0,1,0,0,0,1,0.166017,6,120
0,0,0,1,0,0,0,0,4,0,0,1,0,0,0,1,-0.504742,6,121
0,0,0,0,1,0,0,0,4,0,0,1,0,0,0,1,0.313434,6,122
0,0,0,0,0,1,0,0,4,0,0,1,0,0,0,1,0.304796,6,123
0,0,0,0,0,0,1,0,4,0,0,1,0,0,0,1,-0.032741,6,124
0,0,0,0,0,0,0,1,4,0,0,1,0,0,0,1,-0.504775,6,125
0,0,0,0,0,0,1,0,2,1,0,1,1,0,0,0,-0.754361,5,133
0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,3,0.274867,7,139
0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,3,-0.590530,7,140
0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,3,0.394084,7,141
0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,3,0.285588,7,142
0,0,0,0,0,0,0,1,0,3,1,0,1,0,1,1,-1.424760,7,197
1,0,0,0,0,0,0,0,2,0,0,0,2,0,2,1,0.402580,7,218
0,0,0,0,0,0,1,0,4,1,0,0,0,0,2,0,-0.729237,7,315
0,0,0,1,0,0,0,0,4,1,0,0,0,0,2,0,-1.330106,7,320
0,0,0,0,0,0,0,1,4,1,0,0,0,0,2,0,-1.559860,7,323
0,0,0,0,0,0,1,0,2,0,1,0,0,1,0,1,-0.989418,5,340
0,0,0,0,0,0,0,1,2,0,1,0,0,1,0,1,-1.812371,5,341
0,0,0,0,0,1,0,0,1,0,2,0,0,1,0,3,0.472207,7,387
1,0,0,0,0,0,0,0,1,0,2,0,0,1,0,3,0.525576,7,389
0,1,0,0,0,0,0,0,1,0,2,0,0,1,0,3,0.727532,7,390
0,0,1,0,0,0,0,0,1,0,2,0,0,1,0,3,0.261429,7,391
0,0,0,0,1,0,0,0,1,0,2,0,0,1,0,3,0.542499,7,393
0,0,0,0,0,0,1,0,1,0,2,0,0,1,0,3,-0.044022,7,394
0,0,0,0,0,0,0,1,3,1,0,0,1,1,0,1,-1.259858,7,540
0,0,0,1,0,0,0,0,3,1,0,0,1,1,0,1,-1.115926,7,545
0,0,0,0,0,0,0,1,2,0,3,1,0,0,1,0,-1.536490,7,629
0,0,0,0,0,0,0,1,3,0,1,0,0,0,1,2,-0.461158,7,630
0,0,1,0,0,0,0,0,3,0,1,0,0,0,1,2,0.322249,7,634
0,0,0,1,0,0,0,0,3,0,1,0,0,0,1,2,-0.358176,7,635
0,0,0,0,0,1,0,0,3,0,1,0,0,0,1,2,0.444150,7,637
0,0,0,0,0,0,1,0,3,0,1,0,0,0,1,2,-0.030008,7,638
0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,1,-1.522713,5,665
0,0,0,1,0,0,0,0,1,0,4,1,1,0,0,0,-1.255137,7,666
0,0,0,1,0,0,0,0,1,3,0,2,0,0,1,0,-0.890171,7,788
0,0,0,0,0,1,0,0,0,3,0,1,0,0,1,2,0.413813,7,792
0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,2,0.633523,5,795
0,0,1,0,0,0,0,0,0,3,0,1,0,0,1,2,0.382554,7,796
0,0,0,1,0,0,0,0,0,3,0,1,0,0,1,2,-0.387877,7,797
0,0,0,0,1,0,0,0,0,3,0,1,0,0,1,2,0.478722,7,798
0,0,0,0,0,0,1,0,0,3,0,1,0,0,1,2,0.061480,7,799
0,0,0,0,0,0,0,1,0,3,0,1,0,0,1,2,-0.386918,7,800
0,0,0,0,0,0,0,1,1,1,0,2,1,1,0,1,-0.477779,7,801
0,0,0,1,0,0,0,0,1,1,0,2,1,1,0,1,-0.519882,7,806
0,0,0,0,1,0,0,0,1,1,0,2,1,1,0,1,0.516098,7,807
0,0,0,0,0,1,0,0,1,1,0,2,1,1,0,1,0.325595,7,808
0,0,0,0,0,0,1,0,1,1,0,2,1,1,0,1,0.032779,7,809
1,0,0,0,0,0,0,0,2,0,1,1,0,0,1,0,0.258292,5,812
